"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"1400000US48201311501","Census Tract 3115.01, Harris County, Texas","2966","1958","567","93","21","21","0","1256","1008","990","1","7","8","0","939","2","2","0","13","0","0","15","1","1","1","18","3","1","0","5","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311502","Census Tract 3115.02, Harris County, Texas","3723","2492","744","64","64","130","1","1489","1231","1217","6","10","0","0","1160","4","0","0","11","0","0","14","2","4","6","13","5","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311600","Census Tract 3116, Harris County, Texas","3628","2238","358","245","100","42","3","1490","1390","1375","6","13","4","0","1292","2","2","2","11","0","0","41","0","2","0","13","4","0","0","1","0","0","5","0","0","0","1","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US48201311701","Census Tract 3117.01, Harris County, Texas","3506","2651","790","283","75","11","0","1492","855","849","10","14","3","0","761","2","1","0","15","0","0","33","2","3","5","6","0","1","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311702","Census Tract 3117.02, Harris County, Texas","1890","1440","340","428","32","17","1","622","450","439","8","5","7","0","397","1","0","1","18","2","0","0","0","0","0","9","1","0","2","2","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311800","Census Tract 3118, Harris County, Texas","4325","3206","946","207","96","57","1","1899","1119","1092","7","10","2","0","1024","0","1","0","12","0","0","29","0","6","1","22","2","0","0","0","0","0","17","0","3","0","0","0","0","0","0","0","0","0","0","0","4","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US48201311900","Census Tract 3119, Harris County, Texas","2145","1683","546","96","49","27","0","965","462","446","1","2","4","2","407","4","0","0","8","0","0","11","2","5","0","8","0","0","0","1","1","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","8","0","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312000","Census Tract 3120, Harris County, Texas","5759","5511","1899","1524","4","1449","0","635","248","236","33","10","15","0","122","0","8","37","5","0","0","0","0","6","0","11","3","0","0","3","0","0","3","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312200","Census Tract 3122, Harris County, Texas","2351","2153","225","1678","19","55","3","173","198","175","32","10","1","1","106","4","0","1","12","0","0","6","0","0","2","18","12","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312300","Census Tract 3123, Harris County, Texas","2410","2166","450","1332","14","159","0","211","244","229","22","11","11","1","154","4","3","1","18","0","0","0","0","4","0","10","0","2","0","1","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312400","Census Tract 3124, Harris County, Texas","1981","1810","209","1442","8","34","0","117","171","154","21","5","9","1","92","9","0","0","16","0","0","0","0","0","1","16","2","0","0","3","2","0","5","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312501","Census Tract 3125.01, Harris County, Texas","2484","2151","1130","468","7","400","0","146","333","308","12","18","32","0","210","1","5","2","9","0","0","3","11","5","0","24","7","0","0","3","1","0","9","1","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312502","Census Tract 3125.02, Harris County, Texas","2384","2175","1010","804","40","131","1","189","209","185","14","21","16","0","115","5","1","0","9","1","0","1","2","0","0","17","6","0","1","2","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","7","2","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312601","Census Tract 3126.01, Harris County, Texas","2797","2490","1617","324","12","434","2","101","307","295","26","19","56","0","170","7","3","0","8","0","0","4","1","1","0","12","4","0","0","4","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312602","Census Tract 3126.02, Harris County, Texas","2453","2162","1271","394","18","329","2","148","291","275","11","16","47","2","189","1","0","0","3","0","0","3","0","3","0","14","6","0","0","2","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US48201312603","Census Tract 3126.03, Harris County, Texas","3082","2653","1234","679","26","490","0","224","429","404","18","25","64","0","263","13","1","1","8","0","0","4","2","5","0","20","6","0","0","0","0","0","10","3","1","0","0","0","0","0","0","0","0","0","0","0","5","2","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312700","Census Tract 3127, Harris County, Texas","1859","1717","343","1224","12","49","0","89","142","130","16","7","10","0","69","9","8","1","7","0","0","1","0","2","0","12","5","0","1","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312800","Census Tract 3128, Harris County, Texas","5476","5209","1445","2161","4","1248","2","349","267","255","30","4","0","0","134","13","2","51","18","1","0","1","1","0","0","10","4","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312901","Census Tract 3129.01, Harris County, Texas","1505","1453","110","1239","1","63","1","39","52","50","10","3","0","0","19","0","1","2","11","0","0","4","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201312902","Census Tract 3129.02, Harris County, Texas","1801","1708","233","1373","7","33","4","58","93","69","16","3","4","0","23","10","5","0","5","0","0","0","0","3","0","24","8","5","0","2","0","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201313000","Census Tract 3130, Harris County, Texas","2462","2245","454","1587","17","77","5","105","217","197","20","10","13","1","103","13","14","0","13","0","1","6","3","0","0","15","0","4","0","0","3","0","3","0","1","0","0","0","1","1","0","1","0","0","0","1","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201313101","Census Tract 3131.01, Harris County, Texas","2297","2036","1190","350","7","382","0","107","261","246","27","5","27","4","169","0","5","2","4","0","0","1","0","2","0","12","1","0","0","2","2","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
