GEOID,MeanIncome
17031671900,58593
17031672000,52676
17031680500,35774
17031680600,35864
17031680900,26520
17031681000,34713
17031681100,28993
17031681200,27546
17031681300,25533
17031681400,52704
17031690300,45170
17031690400,42582
17031690500,44278
17031690900,49585
17031691000,57390
17031691100,35595
17031691200,40451
17031691300,63143
17031691400,46834
17031691500,27958
17031700100,82904
17031700200,82621
17031700301,81025
17031700302,85534
17031700401,82780
17031700402,79558
17031700501,74549
17031700502,91114
17031710100,31006
17031710200,47360
17031710300,52377
17031710400,50158
17031710500,48702
17031710600,57242
17031710700,47664
17031710800,35579
17031710900,42055
17031711000,57753
17031711100,74507
17031711200,72307
17031711300,56365
17031711400,54174
17031711500,58537
17031720100,220251
17031720200,133275
17031720300,151623
17031720400,116497
17031720500,130677
17031720600,156947
17031720700,114345
17031730100,61421
17031730201,49935
17031730202,78825
17031730300,54375
17031730400,90298
17031730500,65158
17031730600,60628
17031730700,63598
17031740100,99153
17031740200,112832
17031740300,122875
17031740400,100851
17031750100,68039
17031750200,100129
17031750300,118024
17031750400,120567
17031750500,69667
17031750600,59705
17031760801,76691
17031760802,77779
17031760803,66099
17031770201,85206
17031770202,86785
17031770300,94846
17031770400,94172
17031770500,48726
17031770601,112004
17031770602,79076
17031770700,79322
17031770800,84445
17031770901,100085
17031770902,76564
17031800100,448853
17031800200,285046
17031800300,365653
17031800400,370256
17031800500,412374
17031800600,339832
17031800700,317466
17031800800,186412
17031800900,155112
17031801000,217080
17031801100,275777
17031801200,357581
17031801300,263888
17031801400,189607
17031801500,178828
17031801601,160414
17031801603,85810
17031801605,180646
17031801606,175832
17031801607,157695
17031801608,157320
17031801701,217758
17031801702,200381
17031801800,258339
17031801901,154561
17031801902,216558
17031802002,161110
17031802003,146276
17031802004,71945
17031802100,196068
17031802200,199005
17031802300,184019
17031802402,109519
17031802403,84223
17031802404,74267
17031802503,93444
17031802504,98709
17031802505,73083
17031802506,96331
17031802605,112296
17031802607,169434
17031802608,94990
17031802609,69926
17031802610,106958
17031802701,135057
17031802702,112153
17031802801,143576
17031802802,122323
17031802900,158942
17031803005,111032
17031803007,106660
17031803008,144157
17031803010,134175
17031803012,104537
17031803013,112138
17031803014,80173
17031803015,130902
17031803016,121686
17031803017,126009
17031803100,157617
17031803200,117334
17031803300,121624
17031803400,150481
17031803500,133483
17031803603,217240
17031803604,96080
17031803605,108164
17031803607,120306
17031803608,128957
17031803611,70505
17031803612,64868
17031803613,87788
17031803614,60324
17031803615,125674
17031803616,112136
17031803701,108598
17031803702,137795
17031803800,123347
17031803901,93480
17031803902,97319
17031804000,92009
17031804102,179668
17031804104,159159
17031804105,161581
17031804106,139104
17031804108,94894
17031804109,144689
17031804202,175642
17031804203,242045
17031804204,196439
17031804305,79080
17031804306,85647
17031804308,87379
17031804309,112432
17031804312,163664
17031804313,109327
17031804314,149404
17031804315,94035
17031804316,122875
17031804403,107863
17031804404,88263
17031804405,67763
17031804406,85641
17031804505,81311
17031804506,111971
17031804508,72547
17031804509,96419
17031804510,75994
17031804511,81339
17031804512,109863
17031804513,115391
17031804514,128822
17031804603,83330
17031804606,144293
17031804607,117227
17031804608,122693
17031804609,164913
17031804610,96366
17031804611,93614
17031804701,85023
17031804705,83564
17031804706,130557
17031804709,80267
17031804710,103554
17031804711,84734
17031804712,104156
17031804713,91145
17031804714,93252
17031804715,57091
17031804716,109602
17031804803,94712
17031804804,83415
17031804805,101725
17031804806,97557
17031804807,99616
17031804808,123715
17031804809,107342
17031804810,95781
17031804901,135065
17031804902,118083
17031805001,134206
17031805002,68052
17031805105,81880
17031805106,101827
17031805107,68039
17031805108,78907
17031805109,102868
17031805110,89482
17031805111,70374
17031805112,78079
17031805201,121157
17031805202,118071
17031805301,106443
17031805302,105345
17031805401,114329
17031805402,111924
17031805501,140868
17031805502,183495
17031805600,185949
17031805701,166919
17031805702,149728
17031805801,147391
17031805802,135161
17031805901,86271
17031805902,151344
17031806001,77747
17031806002,94861
17031806004,82755
17031806005,95853
17031806006,71665
17031806102,106542
17031806103,111852
17031806104,55769
17031806201,72363
17031806202,72960
17031806300,125904
17031806400,124665
17031806501,62874
17031806502,78684
17031806600,94204
17031806700,153604
17031806801,91534
17031806802,95014
17031806900,109101
17031807000,73895
17031807100,174350
17031807200,117526
17031807300,77092
17031807400,103219
17031807500,131185
17031807600,93940
17031807700,84252
17031807800,132752
17031807900,155882
17031808001,125254
17031808002,92257
17031808100,58281
17031808200,87202
17031808301,90638
17031808302,95488
17031808400,116634
17031808500,119416
17031808600,243601
17031808702,93602
17031808800,334873
17031808900,207153
17031809000,234198
17031809100,157342
17031809200,56851
17031809300,81243
17031809401,152335
17031809402,67028
17031809500,116681
17031809600,102519
17031809700,140682
17031809800,135917
17031809900,184606
17031810000,149177
17031810100,131079
17031810200,73789
17031810301,99416
17031810302,126925
17031810400,138972
17031810501,99546
17031810502,87004
17031810600,75418
17031810701,62517
17031810702,76699
17031810800,88367
17031810900,73648
17031811000,108251
17031811100,62343
17031811200,84902
17031811301,74722
17031811302,57094
17031811401,83646
17031811402,83777
17031811500,81763
17031811600,69876
17031811701,69847
17031811702,65845
17031811800,82626
17031811900,238110
17031812000,192132
17031812100,144930
17031812200,254028
17031812301,112805
17031812302,168536
17031812400,256794
17031812500,112635
17031812600,95712
17031812700,115665
17031812801,85884
17031812802,111071
17031812900,137124
17031813000,164155
17031813100,124610
17031813200,137724
17031813301,62303
17031813302,56624
17031813400,69072
17031813500,79337
17031813600,61736
17031813701,124689
17031813702,81145
17031813801,54888
17031813802,57454
17031813900,61890
17031814000,68498
17031814100,56685
17031814200,64759
17031814300,52970
17031814400,60025
17031814500,78542
17031814600,84042
17031814700,79484
17031814800,72316
17031814900,65494
17031815000,76174
